"Name","Rank","Generic.Name","Authors..Pub..","Publication","Authors..Book.","Book","Volume","Fascicle","Page.number","Year","Parent.Taxon","Fossil.Status","ID","Authors..Name.","Journal","Annee.Jahrgang","Issue","Type","Вasionym.Generic.Name","Original.spelling","Вasionym.Infrageneric.Name","Edition","Replaced.Name","Designated.by","Non.fossil","Diagnosis"
"Pecopteris Sphenopteroides","Section","[Genus] Pecopteris","Brongniart A. T. ","Histoire des végétaux fossiles [1836/3]","Brongniart A. T. ","Histoire des végétaux fossiles","1","10","356","1836","[Genus] Pecopteris","foliage","FFD8E31C-8F29-16F3-C6E8-4D4B6A972DCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Taeniopteroides","Section","[Genus] Pecopteris","Brongniart A. T. ","Histoire des végétaux fossiles [1836/3]","Brongniart A. T. ","Histoire des végétaux fossiles","1","10","362","1836","[Genus] Pecopteris","foliage","F8122C2F-28DC-B69F-10B6-CE24F1509313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Unitae","Section","[Genus] Pecopteris","Brongniart A. T. ","Histoire des végétaux fossiles [1834/2]","Brongniart A. T. ","Histoire des végétaux fossiles","1","9","335","1834","[Genus] Pecopteris","foliage","8CBDB7A3-FEF3-2EB0-BA81-B028A43BA948",NA,NA,NA,NA,"Pecopteris unita",NA,NA,NA,NA,NA,NA,NA,NA
"Peronosporites Calothecae","Unranked","[Genus] Peronosporites","Pampaloni L. ","Microflora e microfauna nel disodile di Melilli in Sicilia [1902/11]",NA,NA,"11, Semestre 2",NA,"250","1902",NA,"thallus (hyphae)","80AD655B-E89E-628A-93B6-B526D33DFC8E",NA,"Atti della Reale Accademia dei Lincei","Series 5","9","Peronosporites miocenicus",NA,NA,NA,NA,NA,NA,NA,NA
"Peronosporites Lejothecae","Unranked","[Genus] Peronosporites","Pampaloni L. ","Microflora e microfauna nel disodile di Melilli in Sicilia [1902/11]",NA,NA,"11, Semestre 2",NA,"250","1902",NA,"thallus (hyphae)","6B4711F7-D73D-4FBA-32D7-7C4F9ECC9C36",NA,"Atti della Reale Accademia dei Lincei","Series 5","9","Peronosporites sicula",NA,NA,NA,NA,NA,NA,NA,NA
"Peuce Belidoxylon","Unranked","[Genus] Peuce","Hartig T. ","Beiträge zur Geschichte der Pflanzen und zur Kenntniss der norddeutschen Braunkohlen-Flora (Fortsetzung) [1848/2]",NA,NA,"6",NA,"138","1848",NA,"stems (wood)","45D46840-8042-7F38-D591-55AA00B796C3",NA,"Botanische Zeitung",NA,"8","Peuce acerosa",NA,NA,NA,NA,NA,NA,NA,NA
"Peuce Campoxylon","Unranked","[Genus] Peuce","Hartig T. ","Beiträge zur Geschichte der Pflanzen und zur Kenntniss der norddeutschen Braunkohlen-Flora (Fortsetzung) [1848/2]",NA,NA,"6",NA,"138","1848",NA,"stems (wood)","4026F865-5533-8392-F6AD-4AF70EF72BD1",NA,"Botanische Zeitung",NA,"8","Campoxylon hoedlianum",NA,NA,NA,NA,NA,"Pfeiff., Nomencl. Bot., 1(8): 569. 27 Sep 1872",NA,NA
"Peuce Colymboxylon","Unranked","[Genus] Peuce","Hartig T. ","Beiträge zur Geschichte der Pflanzen und zur Kenntniss der norddeutschen Braunkohlen-Flora (Fortsetzung) [1848/2]",NA,NA,"6",NA,"139","1848",NA,"stems (wood)","FB5820D7-2367-F8CA-9416-EF857458B90B",NA,"Botanische Zeitung",NA,"8","Peuce regularis",NA,NA,NA,NA,NA,NA,NA,NA
"Peuce Elatoxylon","Unranked","[Genus] Peuce","Hartig T. ","Beiträge zur Geschichte der Pflanzen und zur Kenntniss der norddeutschen Braunkohlen-Flora (Fortsetzung) [1848/2]",NA,NA,"6",NA,"139","1848",NA,"stems (wood)","1B17E619-3B2A-2C98-6A55-DA2818153E92",NA,"Botanische Zeitung",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peuce Phleboxylon","Unranked","[Genus] Peuce","Hartig T. ","Beiträge zur Geschichte der Pflanzen und zur Kenntniss der norddeutschen Braunkohlen-Flora (Fortsetzung) [1848/2]",NA,NA,"6",NA,"138","1848",NA,"stems (wood)","BC85755D-2567-6453-6B63-408149B9DD01",NA,"Botanische Zeitung",NA,"8","Peuce pannonica",NA,NA,NA,NA,NA,"Pfeiff., Nomencl. Bot., 1(9): 678. 15 Nov 1872",NA,NA
"Peuce Pitoxylon","Unranked","[Genus] Peuce","Hartig T. ","Beiträge zur Geschichte der Pflanzen und zur Kenntniss der norddeutschen Braunkohlen-Flora (Fortsetzung) [1848/2]",NA,NA,"6",NA,"138","1848",NA,"stems (wood)","3B365090-E24F-17E2-E190-9C7BCD580DA3",NA,"Botanische Zeitung",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peuce Thujoxylon","Unranked","[Genus] Peuce","Hartig T. ","Beiträge zur Geschichte der Pflanzen und zur Kenntniss der norddeutschen Braunkohlen-Flora (Fortsetzung) [1848/2]",NA,NA,"6",NA,"138","1848",NA,NA,"93A424C4-1A3C-6B3E-3E65-6A8B2C07357B",NA,"Botanische Zeitung",NA,"8",NA,"[Genus] Thujoxylon",NA,NA,NA,NA,NA,NA,NA
"Peuce Tiloxylon","Unranked","[Genus] Peuce","Hartig T. ","Beiträge zur Geschichte der Pflanzen und zur Kenntniss der norddeutschen Braunkohlen-Flora (Fortsetzung) [1848/2]",NA,NA,"6",NA,"137","1848",NA,"stems (wood)","154CE8F8-9FD4-062D-6053-9A42F2DF9EA6",NA,"Botanische Zeitung",NA,"8","Peuce lindleyana",NA,NA,NA,NA,NA,"Pfeiff., Nomencl. Bot., 2(23): 1418. 24 Jul 1874",NA,NA
"Phlebopteris Dictyopteris","Unranked","[Genus] Phlebopteris","Brongniart A. T. ","Histoire des végétaux fossiles [1837/3]","Brongniart A. T. ","Histoire des végétaux fossiles","1","11","376","1837","[Genus] Phlebopteris","foliage (fertile)","97EF638A-090A-F7CA-E002-0BF018C30D1F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phoenicopsis Culgoweria","Subgenus","[Genus] Phoenicopsis","Samylina V. A. ","Sistematika roda Phoenicopsis [1972]",NA,NA,NA,NA,"46, 60, 66","1972",NA,NA,"7674CB3E-50C1-DE3F-7DC0-9E011F687B8C",NA,"Trudy Geologicheskogo Instituta Akademii Nauk SSSR",NA,"230",NA,"[Genus] Culgoweria",NA,NA,NA,NA,NA,NA,NA
"Phoenicopsis Windwardia","Subgenus","[Genus] Phoenicopsis","Samylina V. A. ","Sistematika roda Phoenicopsis [1972]",NA,NA,NA,NA,"46, 70","1972",NA,NA,"C80EA91B-6426-6E9D-067C-1B06DA5760B3",NA,"Trudy Geologicheskogo Instituta Akademii Nauk SSSR",NA,"230",NA,"[Genus] Windwardia",NA,NA,NA,NA,NA,NA,NA
"Phylladoderma Aequistomia","Subgenus","[Genus] Phylladoderma","Meyen S. V. ","Cardiolepidaceae - novoe permskoe semejstvo khvojnykh Severnoj Evrazii [1977/9]",NA,NA,NA,NA,"136","1977","[Genus] Phylladoderma","leaves","952CF552-8E25-F485-8F4B-E2C6ABFC4DD1",NA,"Paleontologicheskii Zhurnal","1977","3","Phylladoderma aequale",NA,NA,NA,NA,NA,NA,NA,NA
"Picea Pseudopicea","Section","[Genus] Picea","Chelebaeva A. I. ","Opisanie rastenij [1991]",NA,NA,"467",NA,"96","1991","[Genus] Picea","cones","F4B26B60-0293-0FD7-31A9-1FF7ECD68365",NA,"Trudy Geologicheskogo Instituta Akademii Nauk SSSR",NA,NA,"Picea fimbriata",NA,NA,NA,NA,NA,NA,NA,NA
"Pinites Pityanthus","Subgenus","[Genus] Pinites",NA,"Not defined (in editing)",NA,NA,NA,NA,"16",NA,NA,"fructifications","FE21B019-BF4E-492E-9738-61AB3B692182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pinites Pityocladus","Unranked","[Genus] Pinites","Nathorst A. G. ","Zur mesozoischen Flora Spitzbergens [1897/9]",NA,NA,"30",NA,"62","1897","[Genus] Pinites","leafy twigs","09A899D1-1CD0-43F6-857D-3395DECFAFFD",NA,"Kongliga Svenska Vetenskaps Academiens Handlingar",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pinites Pityolepis","Unranked","[Genus] Pinites","Nathorst A. G. ","Zur mesozoischen Flora Spitzbergens [1897/9]",NA,NA,"30",NA,"62","1897","[Genus] Pinites","seed scales","D067760E-BE4C-209C-2D6C-2D2FF436F19A",NA,"Kongliga Svenska Vetenskaps Academiens Handlingar",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pinites Pityophyllum","Unranked","[Genus] Pinites","Nathorst A. G. ","Zur mesozoischen Flora Spitzbergens [1897/9]",NA,NA,"30",NA,"62","1897","[Genus] Pinites","foliage","A95781BF-87BE-440A-B352-BF48411CC4A3",NA,"Kongliga Svenska Vetenskaps Academiens Handlingar",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pinites Pityospermum","Unranked","[Genus] Pinites","Nathorst A. G. ","Zur mesozoischen Flora Spitzbergens [1897/9]",NA,NA,"30",NA,"62","1897","[Genus] Pinites","seeds","95C2F2CC-3903-494B-82C6-6286E5710F16",NA,"Kongliga Svenska Vetenskaps Academiens Handlingar",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pinus Cedro-Cembra","Unranked","[Genus] Pinus","Schimper W. ","Traité de Paléontologie Végétale [1870/6]","Schimper W. ","Traité de Paléontologie Végétale","2","1","289","1870","[Genus] Pinus","foliage (with cones)","9B3D9434-A406-1AC3-9FAE-F7A11D75865B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pinus Mirabilis","Section","[Genus] Pinus","Ananova E. N. ","Pyl'tsa v neogenovykh otlozhenijakh juga Russkoj ravniny [1974/12]","Ananova E. N. ","Pyl'tsa v neogenovykh otlozhenijakh juga Russkoj ravniny",NA,NA,"119","1974","[Genus] Pinus","sporae dispersae (pollen)","86788BEC-88DB-48C8-A129-6D7A07D6E2F5",NA,NA,NA,NA,"Pinus mirabilis",NA,NA,NA,NA,NA,NA,NA,NA
"Pinus Pterocembra","Section","[Genus] Pinus","Coemans H. ","Description de la flore fossile du premier étage du terrain crétacé du Hainaut [1866]","Coemans H. ","Description de la flore fossile du premier étage du terrain crétacé du Hainaut",NA,NA,"15, 16 [rank]","1866","[Genus] Pinus","cones","BA22BAED-4CF4-7BDB-473E-2D3FC1CD5812",NA,NA,NA,NA,"Pinus heeri",NA,"Ptero-Cembra",NA,NA,NA,NA,NA,NA
"Pinus Strobo-Cembra","Unranked","[Genus] Pinus","Schimper W. ","Traité de Paléontologie Végétale [1870/6]","Schimper W. ","Traité de Paléontologie Végétale","2","1","288","1870","[Genus] Pinus","foliage (with cones)","53621776-D197-266B-ED25-CC333A318EC6",NA,NA,NA,NA,"Pinus gibbosa",NA,NA,NA,NA,NA,NA,NA,NA
"Pissadendron Pitys","Unranked","[Genus] Pissadendron","Hartig T. ","Beiträge zur Geschichte der Pflanzen und zur Kenntniss der norddeutschen Braunkohlen-Flora (Fortsetzung) [1848/2]",NA,NA,"6",NA,"137","1848",NA,NA,"D829B8E0-F0A7-8708-64CA-69C5807261FE",NA,"Botanische Zeitung",NA,"8",NA,"[Genus] Pitys","Pitus",NA,NA,NA,NA,NA,NA
"Platanus Glandulosa","Subgenus","[Genus] Platanus","Kvaček Z. Manchester S. R. Guo S.-X. ","Trifoliolate leaves of Platanus bella (Heer) comb. n. from the Paleocene of North America, Greenland, and Asia and their relationships among extinct and extant Platanaceae [2001/3]",NA,NA,"162",NA,"444","2001","[Genus] Platanus","leaves","0A2EA23D-F65D-4F6F-BE3D-63C319D8A0E0",NA,"International Journal of Plant Sciences",NA,"2","Platanus bella",NA,NA,NA,NA,NA,NA,NA,NA
"Poacites Zosterites","Section","[Genus] Poacites","Brongniart A. T. ","Observations sur les Fucoides, et sur quelques autres plantes marines fossiles [1823/11]","Brongniart A. T. ","Observations sur les Fucoides, et sur quelques autres plantes marines fossiles",NA,NA,"16","1823","[Genus] Poacites","leaves","56961163-13A9-797B-74B2-795DCA605317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polyporopollenites Stellatoidae","Section","[Genus] Polyporopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"91","1953",NA,"sporae dispersae (pollen)","9B9806B6-484D-4C6B-987F-5D6B295388A5","Pflug H. D. ","Palaeontographica",NA,"1-4","Polyporopollenites stellatus",NA,NA,NA,NA,NA,NA,NA,NA
"Polyporopollenites Validoidae","Section","[Genus] Polyporopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"91","1953",NA,"sporae dispersae (pollen)","101A6657-5859-4BE5-AFC4-98BCE3FD74A7","Pflug H. D. ","Palaeontographica",NA,"1-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Proteaephyllum Elongatum","Subgenus","[Genus] Proteaephyllum","Fontaine W. ","The Potomac or younger Mesozoic flora [1889/11]",NA,NA,"15",NA,"281","1889","[Genus] Proteaephyllum","leaves","3273FFD7-0603-4346-B9C2-4E4EA2231223",NA,"Monographs of the United States Geological Survey",NA,"1 [Text], 2 [Atlas]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Proteaephyllum Rotundatum","Subgenus","[Genus] Proteaephyllum","Fontaine W. ","The Potomac or younger Mesozoic flora [1889/11]",NA,NA,"15",NA,"281","1889","[Genus] Proteaephyllum","leaves","95691399-FF51-495F-BE65-3A7B275A67A6",NA,"Monographs of the United States Geological Survey",NA,"1 [Text], 2 [Atlas]","Proteaephyllum reniforme",NA,NA,NA,NA,NA,NA,NA,NA
"Psaronius Asterolithus","Section","[Genus] Psaronius","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/3]",NA,NA,"12",NA,"55","1864","[Genus] Psaronius","stems","4ED1DA95-F57C-BBB9-132E-D20A0970BE8B",NA,"Palaeontographica",NA,"1","Psaronius asterolithus",NA,NA,NA,NA,NA,NA,NA,NA
"Psaronius Compressi","Unranked","[Genus] Psaronius","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/6]",NA,NA,"12",NA,"57","1864",NA,"stems","309524CB-AE8F-9ACD-C787-21B3C7DC9CDF",NA,"Palaeontographica",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psaronius Conferti","Unranked","[Genus] Psaronius","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/3]",NA,NA,"12",NA,"56","1864",NA,"stems","5647CF31-4602-1DA5-0E86-B1F1D4D88C39",NA,"Palaeontographica",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psaronius Coronati","Unranked","[Genus] Psaronius","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/6]",NA,NA,"12",NA,"57","1864",NA,"stems","F50927B8-353D-78F5-7F3F-02FD73F8FB12",NA,"Palaeontographica",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psaronius Distichi","Unranked","[Genus] Psaronius","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/3]",NA,NA,"12",NA,"56","1864",NA,"stems","059409AB-A3F1-D414-F752-77A6FC89527E",NA,"Palaeontographica",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psaronius Evaginati","Unranked","[Genus] Psaronius","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/6]",NA,NA,"12",NA,"57","1864",NA,"stems","081D3696-7C36-FE45-018C-E209C00A0EB5",NA,"Palaeontographica",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psaronius Helmintholithus","Section","[Genus] Psaronius","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/3]",NA,NA,"12",NA,"55","1864","[Genus] Psaronius","stems","0B2BC10A-5201-ADA4-497F-7C7DE39F0318",NA,"Palaeontographica",NA,"1","Psaronius helmintholithus",NA,"Helmintholithi",NA,NA,NA,NA,NA,NA
"Psaronius Jugati","Unranked","[Genus] Psaronius","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/6]",NA,NA,"12",NA,"57","1864",NA,"stems","C6F8958C-D495-87F6-AB81-D0B185D7CADA",NA,"Palaeontographica",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psaronius Radiati","Unranked","[Genus] Psaronius","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/3]",NA,NA,"12",NA,"56","1864",NA,"stems","A90BF02E-7424-6664-6DFE-55CC4B6DFCA6",NA,"Palaeontographica",NA,"1","Psaronius radiatus",NA,NA,NA,NA,NA,NA,NA,NA
"Psaronius Reticulati","Unranked","[Genus] Psaronius","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/6]",NA,NA,"12",NA,"57","1864",NA,"stems","AAC6819A-D883-5CB0-D818-E622A288B74D",NA,"Palaeontographica",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psaronius Semivaginati","Unranked","[Genus] Psaronius","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/6]",NA,NA,"12",NA,"57","1864",NA,"stems","F2D52798-990A-823A-6948-C64B28D841AE",NA,"Palaeontographica",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psaronius Spirales","Unranked","[Genus] Psaronius","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/3]",NA,NA,"12",NA,"56","1864",NA,"stems","E9619F9A-53F1-3229-62A4-9179D7D89AE9",NA,"Palaeontographica",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psaronius Stellati","Unranked","[Genus] Psaronius","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/6]",NA,NA,"12",NA,"57","1864",NA,"stems","87DCC78C-6738-FDC2-32D0-9C603B1E8EFB",NA,"Palaeontographica",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psaronius Trimatopteris","Subgenus","[Genus] Psaronius","Corda A. K. ","Beiträge zur Flora der Vorwelt [1845/10]","Corda A. K. ","Beiträge zur Flora der Vorwelt",NA,NA,"106","1845","[Genus] Psaronius","stems (wood)","875C48FD-8971-4A09-1ACB-B740EBC0F60D",NA,NA,NA,NA,"Psaronius elegans",NA,NA,NA,NA,NA,NA,NA,NA
"Psaronius Vaginati","Unranked","[Genus] Psaronius","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/3]",NA,NA,"12",NA,"56","1864",NA,"stems","20C07EFA-9C95-7F86-99E7-23FB405B62BF",NA,"Palaeontographica",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psaronius Verticillati","Unranked","[Genus] Psaronius","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/6]",NA,NA,"12",NA,"57","1864",NA,"stems","CC36A0EB-FB61-01C3-2800-054AA35C4761",NA,"Palaeontographica",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterophyllum Anomozamites","Section","[Genus] Pterophyllum","von Post T. E. ","Lexicon generum phanerogamarum [1903/11]","von Post T. E. ","Lexicon generum phanerogamarum",NA,NA,"469","1903",NA,NA,"C9DDCEF6-05E2-4DC5-BD07-DFCE2ED9C349","Kuntze O. ",NA,NA,NA,NA,"[Genus] Anomozamites",NA,NA,NA,NA,NA,NA,NA
"Pterophyllum Ctenis","Section","[Genus] Pterophyllum","von Post T. E. ","Lexicon generum phanerogamarum [1903/11]","von Post T. E. ","Lexicon generum phanerogamarum",NA,NA,"469","1903",NA,NA,"CC127FC0-59DA-43F5-B62C-E5A128FE16C3","Kuntze O. ",NA,NA,NA,NA,"[Genus] Ctenis",NA,NA,NA,NA,NA,NA,NA
"Pterophyllum Osmundites","Section","[Genus] Pterophyllum","von Post T. E. ","Lexicon generum phanerogamarum [1903/11]","von Post T. E. ","Lexicon generum phanerogamarum",NA,NA,"469","1903",NA,NA,"026180CC-D236-43A6-A41C-C198D33F887D","Kuntze O. ",NA,NA,NA,NA,"[Genus] Osmundites",NA,NA,NA,NA,NA,NA,NA
"Pterophyllum Ptilozamites","Section","[Genus] Pterophyllum","von Post T. E. ","Lexicon generum phanerogamarum [1903/11]","von Post T. E. ","Lexicon generum phanerogamarum",NA,NA,"469","1903",NA,NA,"2DC48C89-A97E-42F2-A50D-26B83F97BD65","Kuntze O. ",NA,NA,NA,NA,"[Genus] Ptilozamites",NA,NA,NA,NA,NA,NA,NA
"Pterozamites Aspleniopteris","Subgenus","[Genus] Pterozamites","Braun C. F. W. ","Beiträge zur Urgeschichte der Pflanzen [1843/12]","Münster G. ","Beiträge zur Petrefacten-Kunde",NA,"6","37","1843",NA,NA,"1B62BFBE-7174-A194-B10E-E96FCBFCD931",NA,NA,NA,NA,NA,"[Genus] Aspleniopteris",NA,NA,NA,NA,NA,NA,NA
"Pterozamites Ctenis","Subgenus","[Genus] Pterozamites","Braun C. F. W. ","Beiträge zur Urgeschichte der Pflanzen [1843/12]","Münster G. ","Beiträge zur Petrefacten-Kunde",NA,"6","37","1843",NA,NA,"0DB86C1B-5216-9EE0-8D72-5271B6B26E5D",NA,NA,NA,NA,NA,"[Genus] Ctenis",NA,NA,NA,NA,NA,NA,NA
"Pterozamites Nilssonia","Subgenus","[Genus] Pterozamites","Braun C. F. W. ","Beiträge zur Urgeschichte der Pflanzen [1843/12]","Münster G. ","Beiträge zur Petrefacten-Kunde",NA,"6","37","1843",NA,NA,"B492FFC2-F99E-45E9-A129-02DFD61E3F55",NA,NA,NA,NA,NA,"[Genus] Nilssonia","Nilsonia",NA,NA,NA,NA,NA,NA
"Pterozamites Pterophyllum","Subgenus","[Genus] Pterozamites","Braun C. F. W. ","Beiträge zur Urgeschichte der Pflanzen [1843/12]","Münster G. ","Beiträge zur Petrefacten-Kunde",NA,"6","37","1843",NA,NA,"990846BF-3B87-5908-156A-415868CD840C",NA,NA,NA,NA,NA,"[Genus] Pterophyllum",NA,NA,NA,NA,NA,NA,NA
"Pterozamites Taeniopteroides","Subgenus","[Genus] Pterozamites","Braun C. F. W. ","Beiträge zur Urgeschichte der Pflanzen [1843/12]","Münster G. ","Beiträge zur Petrefacten-Kunde",NA,"6","36","1843","[Genus] Pterozamites","foliage","389BD31F-1985-63A3-25D7-41435CDF9498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus Bicornes","Unranked","[Genus] Quercus","Trelease W. ","The ancient oaks of America [1918/7]",NA,NA,"1",NA,"495","1918",NA,"leaves","E632096C-6EF8-4615-9517-23B4255F2C34",NA,"Brooklyn Botanic Garden Memoirs",NA,NA,"Quercus bicornis",NA,NA,NA,NA,NA,NA,NA,NA
"Quercus Castaneopses","Unranked","[Genus] Quercus","Trelease W. ","The ancient oaks of America [1918/7]",NA,NA,"1",NA,"495","1918",NA,"leaves","F58A8792-45D9-4D85-996D-90806F38C3C6",NA,"Brooklyn Botanic Garden Memoirs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus Dalliae","Unranked","[Genus] Quercus","Trelease W. ","The ancient oaks of America [1918/7]",NA,NA,"1",NA,"495","1918",NA,"leaves","62F446FA-5880-4423-AEFC-2290BCEEA24F",NA,"Brooklyn Botanic Garden Memoirs",NA,NA,"Quercus dallii",NA,NA,NA,NA,NA,NA,NA,NA
"Quercus Distinctae","Unranked","[Genus] Quercus","Trelease W. ","The ancient oaks of America [1918/7]",NA,NA,"1",NA,"495","1918",NA,"leaves","D220AECA-B49B-498F-8678-AD1F5DAF9027",NA,"Brooklyn Botanic Garden Memoirs",NA,NA,"Quercus distincta",NA,NA,NA,NA,NA,NA,NA,NA
"Quercus Fraxinifoliae","Unranked","[Genus] Quercus","Trelease W. ","The ancient oaks of America [1918/7]",NA,NA,"1",NA,"495","1918",NA,"leaves","F8CE0F2F-E9EC-41D4-8627-7793B1678AD9",NA,"Brooklyn Botanic Garden Memoirs",NA,NA,"Quercus fraxinifolia",NA,NA,NA,NA,NA,NA,NA,NA
"Quercus Lambertenses","Unranked","[Genus] Quercus","Trelease W. ","The ancient oaks of America [1918/7]",NA,NA,"1",NA,"495","1918",NA,"leaves","DD51E187-8E7C-49DD-BC4A-15B351069CA6",NA,"Brooklyn Botanic Garden Memoirs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus Lobatae","Unranked","[Genus] Quercus","Trelease W. ","The ancient oaks of America [1918/7]",NA,NA,"1",NA,"495","1918",NA,"leaves","266DF7CB-DA32-4867-928E-8F647C7F306E",NA,"Brooklyn Botanic Garden Memoirs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus Magnifoliae","Unranked","[Genus] Quercus","Trelease W. ","The ancient oaks of America [1918/7]",NA,NA,"1",NA,"495","1918",NA,"leaves","F34B5772-2521-49DE-B647-EE8E105B2F39",NA,"Brooklyn Botanic Garden Memoirs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus Myricaefoliae","Unranked","[Genus] Quercus","Trelease W. ","The ancient oaks of America [1918/7]",NA,NA,"1",NA,"495","1918",NA,"leaves","6AEA482E-0B19-4440-B338-32CA32B7EC16",NA,"Brooklyn Botanic Garden Memoirs",NA,NA,"Quercus myricifolia",NA,NA,NA,NA,NA,NA,NA,NA
"Quercus Paucidentatae","Unranked","[Genus] Quercus","Trelease W. ","The ancient oaks of America [1918/7]",NA,NA,"1",NA,"495","1918",NA,"leaves","B31FECFD-3059-4BAA-BFBF-83F70DC5E096",NA,"Brooklyn Botanic Garden Memoirs",NA,NA,"Quercus paucidentata",NA,NA,NA,NA,NA,NA,NA,NA
"Quercus Simulatae","Unranked","[Genus] Quercus","Trelease W. ","The ancient oaks of America [1918/7]",NA,NA,"1",NA,"495","1918",NA,"leaves","A78656AE-F0E3-497E-82B9-3BB12A814351",NA,"Brooklyn Botanic Garden Memoirs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus Spurio-ilices","Unranked","[Genus] Quercus","Trelease W. ","The ancient oaks of America [1918/7]",NA,NA,"1",NA,"495","1918",NA,"leaves","0B285DAE-0DC2-4D0E-B165-D52DD23ACB49",NA,"Brooklyn Botanic Garden Memoirs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus Suspectae","Unranked","[Genus] Quercus","Trelease W. ","The ancient oaks of America [1918/7]",NA,NA,"1",NA,"495","1918",NA,"leaves","D13F5ADC-E1F2-4D0C-9F3B-B8C583EC7CA7",NA,"Brooklyn Botanic Garden Memoirs",NA,NA,"Quercus suspecta",NA,NA,NA,NA,NA,NA,NA,NA
"Rhamnus Palaeofrangula","Unranked","[Genus] Rhamnus","Langeron M. ","Contributions à l'étude de la flore fossile de Sézanne (2e fascicule) [1900]",NA,NA,"13",NA,"351","1900",NA,"leaves","7A4F59B7-8AF0-560E-5ED7-B81412F36CD3",NA,"Bulletin de la Sociéte d’Histoire Naturelle d’Autun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rufloria Alatorufloria","Subgenus","[Genus] Rufloria","Gluchova L. V. ","K sistematike roda Rufloria [1976/6]",NA,NA,NA,NA,"120","1976","[Genus] Rufloria","foliage","D63B815F-F1B7-49A3-A36A-4F09C2CE1244",NA,"Paleontologicheskii Zhurnal","1976","2","Rufloria recta",NA,NA,NA,NA,NA,NA,NA,NA
