"Name","Rank","Generic.Name","Authors..Pub..","Publication","Authors..Book.","Book","Volume","Fascicle","Page.number","Year","Parent.Taxon","Fossil.Status","ID","Authors..Name.","Journal","Annee.Jahrgang","Issue","Type","Вasionym.Generic.Name","Original.spelling","Вasionym.Infrageneric.Name","Edition","Replaced.Name","Designated.by","Non.fossil","Diagnosis"
"Gleichenites Eugleichenia","Section","[Genus] Gleichenites","Hirmer M. ","Pteridophyta [1927/11]","Hirmer M. ","Handbuch der Paläobotanik","1",NA,"623","1927","[Genus] Gleichenites","foliage","4DCC4DA9-8B66-9950-6035-76D985E7252D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA
"Gleichenites Mertensia","Section","[Genus] Gleichenites","Hirmer M. ","Pteridophyta [1927/11]","Hirmer M. ","Handbuch der Paläobotanik","1",NA,"624","1927",NA,NA,"091F95E5-3B87-893E-A4BF-FBA76478F746",NA,NA,NA,NA,NA,"[Genus] Mertensia",NA,NA,NA,NA,NA,"Yes",NA
"Goniopteris Desmophlebis","Unranked","[Genus] Goniopteris","Schimper W. ","Traité de Paléontologie Végétale [1869/3]","Schimper W. ","Traité de Paléontologie Végétale","1",NA,"544","1869",NA,NA,"34705D8B-888A-DFF3-2A74-42A62B3724D8",NA,NA,NA,NA,NA,"[Genus] Desmophlebis",NA,NA,NA,NA,NA,NA,NA
"Grevillea Bleasdalea","Section","[Genus] Grevillea","von Post T. E. ","Lexicon generum phanerogamarum [1903/11]","von Post T. E. ","Lexicon generum phanerogamarum",NA,NA,"257","1903","[Genus] Grevillea","leaves","85B49D7C-81AD-4193-966B-525A210322E3","Kuntze O. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hausmannia Protorhipis","Subgenus","[Genus] Hausmannia","Ôishi S. Yamasita K. ","On the fossil Dipteridaceae [1936/7]",NA,NA,"3",NA,"160","1936",NA,NA,"C92580E6-2180-4BD8-9F6E-E308E57765F0",NA,"Journal of the Faculty of Science of the Hokkaido Imperial University",NA,"2",NA,"[Genus] Protorhipis",NA,NA,NA,NA,NA,NA,NA
"Inaperturopollenites Incertoidae","Section","[Genus] Inaperturopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"65","1953",NA,"sporae dispersae (pollen)","420EECEB-2DA1-4BDF-A135-9E28F9296EB4","Pflug H. D. Thomson P. ","Palaeontographica",NA,"1-4","Inaperturopollenites incertus",NA,NA,NA,NA,NA,NA,NA,NA
"Inaperturopollenites Magnoidae","Section","[Genus] Inaperturopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"64","1953","[Genus] Inaperturopollenites","sporae dispersae (pollen)","8851BEF4-A46F-4EB5-8636-689A0AF57471","Pflug H. D. Thomson P. ","Palaeontographica",NA,"1-4","Inaperturopollenites magnus",NA,NA,NA,NA,NA,NA,NA,NA
"Juglandites Eujuglandites","Unranked","[Genus] Juglandites","Endlicher S. L. ","Genera plantarum [1850]","Endlicher S. L. ","Genera plantarum","Supplementum V","4(3)","95","1850","[Genus] Juglandites","fruits","00CC3172-FC7D-431C-844E-A05B4CA83E1D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juglandites Hicorites","Unranked","[Genus] Juglandites","Endlicher S. L. ","Genera plantarum [1850]","Endlicher S. L. ","Genera plantarum","Supplementum V","4(3)","95","1850","[Genus] Juglandites","fruits","3B85ECE7-075F-4AF4-A6F2-1EF9D2643190",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Juglandites [Section] Hicorites",NA,NA,NA
"Juglandites Hicorites","Section","[Genus] Juglandites","von Post T. E. ","Lexicon generum phanerogamarum [1903/11]","von Post T. E. ","Lexicon generum phanerogamarum",NA,NA,"303","1903",NA,"fruits","D3A1C00C-CBA9-4887-AA3D-E381E9DE9BD5","Kuntze O. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juniperites Oxycedrites","Unranked","[Genus] Juniperites","Endlicher S. L. ","Synopsis Coniferarum [1847/7]","Endlicher S. L. ","Synopsis Coniferarum",NA,NA,"271","1847","[Genus] Juniperites","reproductive organs","842249EE-4BBB-4A90-8CBB-5070CA352044",NA,NA,NA,NA,"Juniperites hartmannianus",NA,NA,NA,NA,NA,NA,NA,NA
"Juniperites Sabinites","Unranked","[Genus] Juniperites","Endlicher S. L. ","Synopsis Coniferarum [1847/7]","Endlicher S. L. ","Synopsis Coniferarum",NA,NA,"271","1847","[Genus] Juniperites","leafy twigs","12069A64-2DA2-4FDF-A960-4084285857C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirjamkenia Maria","Subgenus","[Genus] Kirjamkenia","Sadovnikov G. N. ","Novye dannye o morfologii i anatomii roda Kirjamkenia [1984/2]",NA,NA,NA,NA,"81","1984",NA,NA,"741BA81E-E537-8463-587C-7090C06B3CDE",NA,"Paleontologicheskii Zhurnal","1983","4",NA,"[Genus] Maria",NA,NA,NA,NA,NA,NA,NA
"Koretrophyllites Neokoretrophyllites","Subgenus","[Genus] Koretrophyllites","Radczenko G. P. ","Semejstvo Sorocaulaceae fam. nov. [Family Sorocaulaceae fam. nov.] [1956/7]",NA,NA,NA,NA,"211","1956","[Genus] Koretrophyllites","leafy twigs","7F0E23A8-5E86-4D48-8307-A073B165F310",NA,"Materialy Vsesoyuznogo Nauchno-Issledovatel'skogo Geologicheskogo Instituta",NA,"12","Koretrophyllites comptus",NA,NA,NA,NA,NA,NA,NA,NA
"Lagenospermopteris Lagenospermopteris","Series","[Genus] Lagenospermopteris","Doweld A. B. ","Re-classification of the Carboniferous genus Eusphenopteris (Lyginopteridaceae / Lagenostomataceae – Lyginopteridophyta) [2003/6]",NA,NA,"88",NA,"104","2003","[Genus] Lagenospermopteris","foliage","663F6F18-CBFC-4D81-80FB-8287B04754CF",NA,"Botanicheskii Zhurnal",NA,"6","Lagenospermopteris obtusiloba",NA,NA,NA,NA,NA,NA,NA,"Pinnules convex, obtuse, rounded or trilobate."
"Lagenospermopteris Neuropteroidei","Series","[Genus] Lagenospermopteris","Doweld A. B. ","Re-classification of the Carboniferous genus Eusphenopteris (Lyginopteridaceae / Lagenostomataceae – Lyginopteridophyta) [2003/6]",NA,NA,"88",NA,"104","2003","[Genus] Lagenospermopteris","foliage","78AD0AFB-9F35-49BC-BBF4-B7465B000190",NA,"Botanicheskii Zhurnal",NA,"6","Lagenospermopteris neuropteroides",NA,NA,NA,NA,NA,NA,NA,"Pinnules flat, rounded or tetralobate, with a wide base."
"Laurinium Perseoxylon","Subgenus","[Genus] Laurinium","Schönfeld G. ","Über einige neue Funde fossiler Hölzer aus der Umgebung Dresdens [1919]",NA,NA,NA,NA,"7","1919",NA,NA,"61F6252E-8A8B-E00B-C695-F816F78377CE",NA,"Sitzungsberichte und Abhandlungen der Naturwissenschaftlichen Gesellschaft Isis in Dresden","1918","Abhandlungen",NA,"[Genus] Perseoxylon",NA,NA,NA,NA,NA,NA,NA
"Laurus Agathophylloideae","Unranked","[Genus] Laurus","Schimper W. ","Traité de Paléontologie Végétale [1872/1-4]","Schimper W. ","Traité de Paléontologie Végétale","2","2","819","1872","[Genus] Laurus","leaves","3F7E83BC-026C-2992-4996-00782F5EAE26",NA,NA,NA,NA,"Laurus agathophyllum",NA,NA,NA,NA,NA,NA,NA,NA
"Lepidodendron Aspidiaria","Unranked","[Genus] Lepidodendron","Goldenberg C. F. ","Die Selagineen der Vorwelt [1854/9]","Peter F. ","Zu der öffentlichen Prüfung des Gymnasiums und der Gymnasial-Vorbereitungsklasse zu Saarbrücken",NA,NA,"17","1854",NA,NA,"FA5E216B-759D-0771-1509-53A68E7A54A3",NA,NA,NA,NA,NA,"[Genus] Aspidiaria",NA,NA,NA,NA,NA,NA,NA
"Lepidodendron Bergeria","Unranked","[Genus] Lepidodendron","Goldenberg C. F. ","Die Selagineen der Vorwelt [1854/9]","Peter F. ","Zu der öffentlichen Prüfung des Gymnasiums und der Gymnasial-Vorbereitungsklasse zu Saarbrücken",NA,NA,"17","1854",NA,NA,"17DDC9BE-47B2-ACAF-ACF3-8FE3A55471B1",NA,NA,NA,NA,NA,"[Genus] Bergeria",NA,NA,NA,NA,NA,NA,NA
"Lepidodendron Bergeria","Subgenus","[Genus] Lepidodendron","Johnston R. M. ","General observations regarding the classification of the Upper Palaeozoic and Mesozoic rocks of Tasmania, together with a full description of all the known Tasmanian coal plants, including a considerable number of new species [1886]",NA,NA,NA,NA,"382","1886",NA,NA,"38EC7EE1-05F7-4DF8-2F97-FFF31B54D850",NA,"Papers and Proceedings of the Royal Society of Tasmania","1885",NA,NA,"[Genus] Bergeria",NA,NA,NA,NA,NA,NA,NA
"Lepidodendron Neolepidodendron","Subgenus","[Genus] Lepidodendron","Koiwai K. ","Rinboku Lepidodendron oculus-felis (Abbado) Zeiller oyobi otto ni ruisuru shurui ni tsuite (sono 1) [1937/4]",NA,NA,"44",NA,"299","1937",NA,"stems","19DEB57A-550E-991A-A20A-6F18ACEA34BA",NA,"Journal of the Geological Society of Tokyo",NA,"523",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidodendron Sagenaria","Subgenus","[Genus] Lepidodendron","Koechlin-Schlumberger J. É. Schimper W. ","Mémoire sur le terrain de transition des Vosges [1862/9]","Koechlin-Schlumberger J. É. Schimper W. ","Mémoire sur le terrain de transition des Vosges",NA,NA,"336","1862",NA,NA,"0D43DA61-6067-45AD-F31D-F73B0EFD3DA1","Schimper W. ",NA,NA,NA,NA,"[Genus] Sagenaria",NA,NA,NA,NA,NA,NA,NA
"Lepidodendron Sagenaria","Unranked","[Genus] Lepidodendron","Goldenberg C. F. ","Die Selagineen der Vorwelt [1854/9]","Peter F. ","Zu der öffentlichen Prüfung des Gymnasiums und der Gymnasial-Vorbereitungsklasse zu Saarbrücken",NA,NA,"16","1854",NA,NA,"93D6EB4F-47F9-5008-AC9F-DD2A7B569C5C",NA,NA,NA,NA,NA,"[Genus] Sagenaria",NA,NA,NA,NA,NA,NA,NA
"Lepidodendron Ulodendron","Subgenus","[Genus] Lepidodendron","Felix J. ","Die Leitfossilien [1906/9]","Felix J. ","Die Leitfossilien aus dem Pflanzen- und Tierreich in systematischer Anordnung",NA,NA,"23","1906",NA,NA,"D3DB54D1-2DA9-40FE-A5F7-A5AE64D30DBE",NA,NA,NA,NA,NA,"[Genus] Ulodendron",NA,NA,NA,NA,NA,NA,NA
"Limnocarpus Eulimnocarpus","Unranked","[Genus] Limnocarpus","Dorofeev P. I. ","O plodakh roda Limnocarpus С. Reid iz paleogenovykh otlozhenij SSSR [On the fruits of the genus Limnocarpus С. Reid from the Palaeogene sediments of the USSR] [1968/6]",NA,NA,"180",NA,"1468","1968","[Genus] Limnocarpus","fruits (endocarps)","DA84EA1C-7AB2-4B6D-924A-EB009E9FAF6F",NA,"Doklady Akademii Nauk SSSR",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
