"","Name","URL"
"82","Unranked Adiantites","http://ifpni.org/infragenus.htm?id=28B7E03D-7F57-C2FC-BC52-D62CE04B60FC"
"83","Subgenus Aneimites","http://ifpni.org/infragenus.htm?id=C1F40521-EB61-489F-9C32-D12384A6D0C7"
"84","Subgenus Aneimites","http://ifpni.org/infragenus.htm?id=F2E553F7-667D-4F70-8740-A64A0ECBB089"
"85","Subgenus Archaeopteris","http://ifpni.org/infragenus.htm?id=2C85BF63-F5D1-44E4-8651-EFA2AE92B291"
"86","Unranked Eucyclopterides","http://ifpni.org/infragenus.htm?id=33301B58-2666-4674-8EA5-7DC999DC9ADC"
"87","Subgenus Eucyclopteris","http://ifpni.org/infragenus.htm?id=A98BBE36-5C96-519C-2922-96191B7DB6F1"
"88","Subgenus Neuropteris","http://ifpni.org/infragenus.htm?id=5A30F902-FDC2-4346-8197-B9155BF181EE"
"89","Section Neuropteroides","http://ifpni.org/infragenus.htm?id=7F16042C-36B5-237F-DDDE-85388E675729"
"90","Subgenus Neuropteroides","http://ifpni.org/infragenus.htm?id=AAA2C106-EEC1-8986-8AC6-66342DACC973"
"91","Unranked Neuropteroides","http://ifpni.org/infragenus.htm?id=FB5D5B49-6EA5-4D30-2123-7625403D2FF4"
"92","Section Odontopteroides","http://ifpni.org/infragenus.htm?id=14EE3838-8BB0-845E-1BF6-C92AB3FCA646"
"93","Subgenus Eucyclostigma","http://ifpni.org/infragenus.htm?id=54517664-D2E7-45FA-995E-FA0A2A1354E7"
"94","Subgenus Pinakodendron","http://ifpni.org/infragenus.htm?id=230D7633-1F4A-4437-B81C-CBF73515DA23"
"95","Unranked Colymboxylon","http://ifpni.org/infragenus.htm?id=22A771EC-755F-4A79-E61F-7F5C2CC5A045"
"96","Unranked Medulloxylon","http://ifpni.org/infragenus.htm?id=8E0CE8D7-FCA7-5F80-B1A0-A619068EF3CA"
"97","Subgenus Dewalquea","http://ifpni.org/infragenus.htm?id=DB633248-D573-DADE-A98D-973AC3B67C47"
"98","Subgenus Camptopteris","http://ifpni.org/infragenus.htm?id=583EC6BD-CDC5-F9FA-3995-F3CFACA061C1"
"99","Section Acrotheca","http://ifpni.org/infragenus.htm?id=3338CFBF-EC53-48D5-A299-94A97276C946"
"100","Section Divisoidae","http://ifpni.org/infragenus.htm?id=9496AEB5-2493-477E-BFBF-6278900940FD"
