"Name","URL"
"Abietites ellipticus","http://ifpni.org/species.htm?id=2706B2AA-6442-4ED8-ACB0-12B8884FD380"
"Abietites elongatus","http://ifpni.org/species.htm?id=BEA2BE24-2E10-F0CF-8643-700BD02EC4E6"
"Abietites ernestinae","http://ifpni.org/species.htm?id=DB264AE4-83BD-4D43-A154-91F253570AE4"
"Abietites exogyrus","http://ifpni.org/species.htm?id=B02F1E7D-4F0B-5FB4-47E5-D595C6AC25E3"
"Abietites foliosus","http://ifpni.org/species.htm?id=D4DCAC11-FA2B-261A-6532-D97151D28C46"
"Abietites fractifolius","http://ifpni.org/species.htm?id=00F9B817-8B27-10D3-8F1C-D22032B00BD8"
"Abietites geanthracis","http://ifpni.org/species.htm?id=0BB5C18D-ABC2-BB09-4E15-D06B3A225F07"
"Abietites glaucescens","http://ifpni.org/species.htm?id=8D071516-6F21-F555-A498-D16576C85468"
"Abietites goeppertii","http://ifpni.org/species.htm?id=963B9B7C-2A60-48A4-B33B-73D5025BD925"
"Abietites granulatus","http://ifpni.org/species.htm?id=A409C2CA-436E-3870-C03D-3050C58A3221"
"Abietites hartigii","http://ifpni.org/species.htm?id=C44096D1-B066-40B8-9F94-37EF482E1D8B"
"Abietites hordeaceus","http://ifpni.org/species.htm?id=56EAB2E3-3C33-EE50-FBB3-1AB5018A5E98"
"Abietites lanceolatus","http://ifpni.org/species.htm?id=39896EC2-E358-42FD-BF3E-FDE30887BECD"
"Abietites lanceolatus","http://ifpni.org/species.htm?id=46E17046-DC72-C6D3-F485-C3C6853EBF02"
"Abietites laricioides","http://ifpni.org/species.htm?id=2FA00476-FB61-03C7-ECE2-01884D6CDBEA"
"Abietites linkii","http://ifpni.org/species.htm?id=971455AF-84E5-49B7-B5BD-6383F54582C7"
"Abietites linkii","http://ifpni.org/species.htm?id=D532A4D6-9CE5-33F3-88CE-599692A14A3C"
"Abietites longifolius","http://ifpni.org/species.htm?id=1DF775C1-EEB7-B2BD-C649-560F56A42FD1"
"Abietites macrocarpus","http://ifpni.org/species.htm?id=0CDDAAD8-6CF9-4A22-A300-3CEA31CAF0AE"
"Abietites microphyllus","http://ifpni.org/species.htm?id=25A8BFE7-098F-0253-8C29-6890E54F8B1D"
"Abietites mucronatus","http://ifpni.org/species.htm?id=6D79AB28-718C-FBDE-B2C9-C9CF4F3301E7"
"Abietites oblongus","http://ifpni.org/species.htm?id=7BF821D8-8766-97F3-2F54-D0E544587CAA"
"Abietites obtusatus","http://ifpni.org/species.htm?id=3BB98859-2F04-6617-73A1-31287E17EDE3"
"Abietites obtusifolius","http://ifpni.org/species.htm?id=F4A9E1B8-77F4-4A95-A4B3-62B27F078511"
"Abietites oceanines","http://ifpni.org/species.htm?id=2C57AC82-0423-7166-8272-2F611FCBF81E"
"Abietites pungens","http://ifpni.org/species.htm?id=A0042669-0437-8FEE-4E98-DA114A03A56F"
"Abietites reichianus","http://ifpni.org/species.htm?id=A2C1AAAB-4931-4E4B-88D7-CA1FED7A510D"
"Abietites rotundatus","http://ifpni.org/species.htm?id=9B999E3E-AC8C-3D5C-10DB-AE7BB8486E19"
"Abietites setiger","http://ifpni.org/species.htm?id=67495F6B-321A-47AC-B8CC-E28D18BFE713"
"Abietites sternbergii","http://ifpni.org/species.htm?id=3DF5E8F2-14FA-4493-A8E2-E79BEA9D04CF"
"Abietites striolatus","http://ifpni.org/species.htm?id=D417D6D1-A0DE-2435-3E9C-D9A65B5E712C"
"Abietites toretzensis","http://ifpni.org/species.htm?id=16EB8BDC-E096-40A0-96D0-EFEECDB9DE62"
"Abietites trinervis","http://ifpni.org/species.htm?id=BA884463-F412-10F0-9C4E-18A1D0528DB0"
"Abietites truncatus","http://ifpni.org/species.htm?id=B29BB3DE-9615-48D7-A2D3-BDE3B628D479"
"Abietites tyrrellii","http://ifpni.org/species.htm?id=CF545C85-D799-E440-82AB-8E45722EBECC"
"Abietites wredeanus","http://ifpni.org/species.htm?id=D0FD5206-07FC-4FB6-AB02-12974251F1E0"
"Abietopitys perforata","http://ifpni.org/species.htm?id=08C08453-BC8B-5227-FC5E-B842CBFA4FD6"
"Abietopitys petriellae","http://ifpni.org/species.htm?id=988B7970-110C-956C-F1C8-705850BA814B"
"Abietoxylon falunense","http://ifpni.org/species.htm?id=FF971D8E-A046-C566-A1FD-36FE7C23E63B"
"Abietoxylon shakhtnaense","http://ifpni.org/species.htm?id=C3AA8019-6F40-887F-001E-31BC838BAE3B"
"Abiocaulis verticillatus","http://ifpni.org/species.htm?id=500E89B4-FB70-C791-7C55-BABDE69854D8"
"Abiocaulis yezoensis","http://ifpni.org/species.htm?id=A430F7FF-67B0-593A-67A4-A880675E7B8B"
"Abronia bronnii","http://ifpni.org/species.htm?id=12C78995-7784-E076-E4A6-81047D69112E"
"Abronia pliocenica","http://ifpni.org/species.htm?id=02C402B8-58B2-8CC3-4AFF-72545193E538"
"Abronia pliocenica","http://ifpni.org/species.htm?id=37EE4BE4-100C-D884-782F-A8606C9A99B2"
"Abrotopteris guizhouensis","http://ifpni.org/species.htm?id=537D0CDB-3D49-B61F-3657-8C8F9EF089A8"
"Abundacapsa impages","http://ifpni.org/species.htm?id=EA8061AD-4F9E-4DFC-9531-2B6B166E13E2"
"Abuta ovalis","http://ifpni.org/species.htm?id=7EF1CD98-3A5D-4AB8-972E-C2473F329721"
"Abutilon acerites","http://ifpni.org/species.htm?id=E4B939EF-4C32-F8FF-B526-EC462C500F20"
"Abutilon eakinii","http://ifpni.org/species.htm?id=70C24CE0-0B66-07BD-D65C-0240AD664FD5"
"Acacia adscripta","http://ifpni.org/species.htm?id=BE902546-F669-48AA-A0CC-BB643D28F8D9"
"Acacia aegyptiaca","http://ifpni.org/species.htm?id=2EAD0E30-6B1A-18A2-AFD1-457071154908"
"Acacia aegyptiaca","http://ifpni.org/species.htm?id=D6EC26F2-3873-3BA3-D70F-7846A2C22EA1"
"Acacia ambigua","http://ifpni.org/species.htm?id=C559CBE5-319E-43EF-BD10-68C8494503AF"
"Acacia amorphoides","http://ifpni.org/species.htm?id=8703704B-DF2D-4A76-A6B2-52E6EE966D33"
"Acacia aquensis","http://ifpni.org/species.htm?id=11F4DB76-42F2-9D73-3117-61125F725433"
"Acacia aquilonia","http://ifpni.org/species.htm?id=3C5876D9-4BC3-CC09-4597-184E09C7131B"
"Acacia assimilanda","http://ifpni.org/species.htm?id=F0CC83B7-2434-4120-9C37-BE505BA93B05"
"Acacia balearica","http://ifpni.org/species.htm?id=42FB345B-DCEA-4AAF-B714-0261E0FCDAB8"
"Acacia beneschii","http://ifpni.org/species.htm?id=5D9FC8D8-440B-A795-1384-7866D2AE37C6"
"Acacia bisperma","http://ifpni.org/species.htm?id=1820526A-B8DF-4BAF-AAAB-B7C2653A129D"
"Acacia bisperma","http://ifpni.org/species.htm?id=1B1240B8-4E9F-45E0-918C-45227C7FFF01"
"Acacia bousquetii","http://ifpni.org/species.htm?id=7D2582FF-2F2E-48DE-A846-33BAAC05669C"
"Acacia brachycarpa","http://ifpni.org/species.htm?id=F432666D-D7A0-4A0B-9375-BA7E8ADE8999"
"Acacia brevior","http://ifpni.org/species.htm?id=560E6937-D21B-86F3-96B5-482E1C2155E7"
"Acacia brongniartii","http://ifpni.org/species.htm?id=8CE95CD0-4D89-4E5E-B561-0274557A270E"
"Acacia caesalpiniifolia","http://ifpni.org/species.htm?id=39B0CDB6-D211-427B-B86C-D38DEDAE7515"
"Acacia colchica","http://ifpni.org/species.htm?id=217D5378-0172-420B-9F06-5777B53BD165"
"Acacia coriacea","http://ifpni.org/species.htm?id=7F848AB6-3510-4E8B-9071-0D116E667F61"
"Acacia corsacensis","http://ifpni.org/species.htm?id=292DADA6-5DDD-2624-E0B0-3F72F61BE3CC"
"Acacia cyclosperma","http://ifpni.org/species.htm?id=820C2505-4A0B-42DA-9CDA-316717607AC6"
"Acacia cyclosperma","http://ifpni.org/species.htm?id=8D379733-6C89-49A8-AB64-5E4FC5165FD0"
"Acacia desnoyersii","http://ifpni.org/species.htm?id=99F68DBB-4730-4788-92EA-2F00846C6814"
"Acacia dianae","http://ifpni.org/species.htm?id=8BA3327D-9ACE-42A9-A834-618619A88EDB"
"Acacia dimidiato-cordata","http://ifpni.org/species.htm?id=08082CA0-3139-79E9-5F80-68D54DC73268"
"Acacia discreta","http://ifpni.org/species.htm?id=A0E8E866-E3FC-49E0-A8CB-02FAB15C3756"
"Acacia dubia","http://ifpni.org/species.htm?id=A47139AF-E163-4778-D461-9470652962FF"
"Acacia eocaribbeanensis","http://ifpni.org/species.htm?id=A2F88463-DCD7-2BFE-9AE3-61AD0675B226"
"Acacia eosericata","http://ifpni.org/species.htm?id=3A8F2CF7-8982-65CF-82E1-67C7DBAE6EED"
"Acacia exilis","http://ifpni.org/species.htm?id=2DBD3A06-0CA0-46CC-BFC6-FDD6F054F08A"
