"Name","Rank","Authors..Pub..","Publication","Journal","Issue","Page.number","Year","Parent.Taxon","Type","ID","Non.fossil","Original.spelling","Authors..Book.","Book","Volume","Authors..Name.","Fascicle","Annee.Jahrgang","Edition","Diagnosis"
"Algacitaceae","Family","Krüger J. F. ","Geschichte der Urwelt [1823/11]",NA,NA,"101","1823","[Unranked] Algae","[Genus] Algacites","84361DAE-4523-4565-A0C5-25DD121BA37B",NA,"Algaciten","Krüger J. F. ","Geschichte der Urwelt",NA,NA,"2",NA,NA,NA
"Algae","Unranked",NA,"Not defined (in editing)",NA,NA,NA,NA,NA,NA,"88125858-C4DC-4801-8544-EA16F307AFD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-fossil"
"Algomycetes","Class","Kräusel R. ","Die Sporokarpien Dawsons, eine neue Thallophyten-Klasse des Devons [1941/6]","Palaeontographica","4-6","131","1941","[Regnum] Fungi",NA,"0889A8DA-EFC2-41CD-A12B-D4B6022E93D2",NA,NA,NA,NA,"86",NA,NA,NA,NA,NA
"Alismataceae","Family",NA,"Not defined (in editing)",NA,NA,NA,NA,"[Order] Alismatales","[Genus] Alisma","1BBF7B74-070A-4BAF-897F-A67EE732F06E","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alismatales","Order","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin aneb Rostlinář [1819/10]",NA,NA,"271","1819","[Class] Liliopsida","[Genus] Alisma","56F33DBF-1391-41C3-B3FF-67FAEFEE920E","Yes","Alismaceae","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin, aneb Rostlinář","Oddělení 1",NA,NA,NA,NA,NA
"Altingiaceae","Family",NA,"Not defined (in editing)",NA,NA,"Horaninow, Osnov. Bot.: 271. 1841",NA,"[Order] Altingiales","[Genus] Altingia","15F264B1-89CF-4DCB-ADDE-9B7E67088E42","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Altingiales","Order","Doweld A. B. ","Carpology, Seed Anatomy and Taxonomic Relationships of Tetracentron (Tetracentraceae) and Trochodendron (Trochodendraceae) [1998/10]","Annals of Botany","4","435","1998","[Class] Magnoliopsida","[Genus] Altingia","FEFF9DE6-0C1B-F878-B2E4-E21C39A59AC4","Yes",NA,NA,NA,"82",NA,NA,NA,NA,NA
"Amgaelleae","Tribe","Korde K. B. ","Novye predstaviteli sifonnikovykh vodoroslej [New representatives of the siphonous algae] [1958/1]","Materialy k ""Osnovam paleontologii""","1","67","1958","[Order] Dasycladales","[Genus] Amgaella","784A3F0D-D4DF-4CDC-9C45-826EBB8F2050",NA,NA,NA,NA,NA,NA,NA,"1957",NA,NA
"Amgaellinae","Subtribe","Bassoullet J.-P. Bernier P. Deloffre R. Génot P. Jaffrezo M. Vachard D. ","Essai de classification des Dasycladales en tribus [1979/12]","Bulletin des Centres de Recherches Exploration-Production Elf-Aquitaine","2","433","1979","[Family] Dasycladaceae","[Genus] Amgaella","42C0D384-F77F-6036-A0A7-166B88921857",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA
"Ampulliporeae","Tribe","Shuysky V. P. ","Zelyonye vodorosli (Chlorophyta) [1987/10]","Trudy Instituta geologii i geofiziki Sibirskogo otdeleniya Akademii Nauk SSSR","674","56","1987","[Family] Litanaiaceae","[Genus] Ampullipora","EE52C637-30DA-1E8E-BED2-1AC00EC758B8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacardiaceae","Family",NA,"Not defined (in editing)",NA,NA,"in Tuckey, Narr. Exped. Zaire: 431. 1818",NA,"[Order] Burserales",NA,"FD056CFD-90DB-4D8B-97EB-DE998D4E5F89","Yes","Anacardeae",NA,NA,NA,"Brown R. ",NA,NA,NA,NA
"Anachoropteridaceae","Family","Posthumus O. ","Eenige opmerkingen betreffende de indeeling en de nomenclatuur van de Inversicatenales [1924/11]","Verslagen van de gewone vergaderingen des wis- en natuurkundige afdeeling der Koninklijke Akademie van Wetenschappen te Amsterdam","9","884","1924","[Order] Anachoropteridales","[Genus] Anachoropteris","B1F0A7CA-5A26-0489-EFAF-2BDC63AA65EF",NA,NA,NA,NA,"33","Bertrand P. ",NA,NA,NA,NA
"Anachoropteridales","Order","Smith G. M. ","Cryptogamic Botany [1938/5]",NA,NA,"259","1938","[Class] Osmundopsida","[Genus] Anachoropteris","546E38B5-8BEA-4480-9060-61C5B18F491B",NA,NA,"Smith G. M. ","Cryptogamic Botany","2",NA,NA,NA,NA,NA
"Anachoropterideae","Tribe","Ogura Y. ","Anatomie der Vegetationsorgane der Pteridophyten [1938/5]",NA,NA,"259","1938","[Subfamily] Anachoropteridoideae","[Genus] Anachoropteris","3B0D93A4-D163-4C92-9E55-EDF3C09DB57A",NA,NA,"Linsbauer K. ","Handbuch der Pflanzenanatomie","Abtheilung II, 7",NA,"2",NA,NA,NA
