"Name","Rank","Authors..Pub..","Publication","Journal","Issue","Page.number","Year","Parent.Taxon","Type","ID","Non.fossil","Original.spelling","Authors..Book.","Book","Volume","Authors..Name.","Fascicle","Annee.Jahrgang","Edition","Diagnosis"
"Massuloides","Turma","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]","Palaeontographica","1-4","112","1953",NA,NA,"71DA4E16-3CA1-4AF2-9B31-C7BE37ED98B6",NA,NA,NA,NA,"94","Pflug H. D. ",NA,NA,NA,NA
"Mastoporeae","Tribe","Deloffre R. ","Nouvelle taxonomie des algues Dasycladales [1988/6]","Bulletin des Centres de Recherches Exploration-Production Elf-Aquitaine","1","170","1988",NA,"[Genus] Mastopora","23481F30-8DB4-4318-87E4-E22CD6F1BA2A",NA,NA,NA,NA,"12",NA,NA,NA,NA,NA
"Matatiellaceae","Family","Anderson J. M. Anderson H. M. ","Heyday of the gymnosperms: systematics and biodiversity of the Late Triassic Molteno fructifications [2003/6]","Strelitzia","15","172","2003","[Order] Matatiellales","[Genus] Matatiella","0D4F1FC6-BE31-48FB-82D0-4C46DB555570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matatiellales","Order","Anderson J. M. Anderson H. M. ","Heyday of the gymnosperms: systematics and biodiversity of the Late Triassic Molteno fructifications [2003/6]","Strelitzia","15","172","2003","[Class] Ginkgoopsida","[Genus] Matatiella","DF2EB22F-00DF-4F53-B754-47C10430D15A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matoniaceae","Family",NA,"Not defined (in editing)",NA,NA,"Gefässbündel Farrn.: 32. 1847.",NA,"[Order] Matoniales","[Genus] Matonia","7D3D4619-2BE9-441F-B80A-E454489B7AA5","Yes",NA,NA,NA,NA,"Presl K. ",NA,NA,NA,NA
"Matoniales","Order",NA,"Not defined (in editing)",NA,NA,"Phytologia 74: 175. 1993",NA,"[Class] Matoniopsida","[Genus] Matonia","29AB4949-FE72-47DD-8781-71F5D1CBBE73","Yes",NA,NA,NA,NA,"Reveal J. L. ",NA,NA,NA,NA
"Matoniopsida","Class","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"ix","2001","[Phylum] Pteridophyta",NA,"22B69DE5-554D-493E-9605-4FF4FBD9D8FA","Yes",NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Maubasiaceae","Family","Senkevitsch M. A. ","Evoljutsija paleozojskikh lepidofitov i ekostratigrafija [Evolution of the Palaeozoic lepidophytes and ecostratigraphy] [1986/6]",NA,NA,"33","1986","[Class] Lepidodendropsida","[Genus] Maubasia","012A5EAF-DEF5-47F9-8E90-961CAF3E9114",NA,"Maubassiaceae",NA,"Teorija i opyt ekostratigrafii [Theory and Experience of the Ecostratigraphy]",NA,NA,NA,NA,NA,NA
"Maubasioideae","Subfamily","Senkevitsch M. A. ","Novyj rannedevonskij lepidofit [New Early Devonian lepidophyte] [1983/11]",NA,NA,"52","1983","[Class] Lepidodendropsida","[Genus] Maubasia","18FCEF97-5758-4E92-96D6-61316D80CBEA",NA,"Maubasideae",NA,"Problemy regional'noj geologii i geofiziki Kazakhstana [Problems of Regional Geology and Geophysics of Kazakhstan]",NA,NA,NA,NA,NA,NA
"Mazocarpinae","Subtribe","Abbott M. L. ","Lycopod fructifications from the Upper Freeport (No. 7) coal in Southeastern Ohio [1963/4]","Palaeontographica","4-6","113","1963","[Family] Sigillariaceae","[Genus] Mazocarpon","3A2DD05F-A883-A3FC-DDA3-2BE5DE01B078",NA,NA,NA,NA,"112",NA,NA,NA,NA,NA
"Medullosaceae","Family","Göppert H. R. ","Die fossile Flora der Permischen Formation [1864/11]","Palaeontographica","4","208","1864","[Order] Pachytestales","[Genus] Medullosa","21035ED3-A6D1-4E50-8754-72198F3ECBA6",NA,"Medullosae",NA,NA,"12",NA,NA,NA,NA,NA
"Medullosales","Order","Němejc F. ","The natural systematic of plants in the light of the present palaeontological documents [1950/12]","Sborník Národního Muzea v Praze","3","82","1950","[Class] Pachytestopsida","[Genus] Medullosa","0F43E424-164F-7CE9-DE7E-DEAF15386C25",NA,NA,NA,NA,"6",NA,NA,NA,NA,NA
"Medullosales","Order","Havlena V. ","Přehled paleobotanického systému a morfologie [1961/3]",NA,NA,"312","1961","[Class] Pachytestopsida","[Genus] Medullosa","FF58A720-1A2D-FD20-9041-B6BC689E5A4D",NA,NA,"Dvořák J. Růžička B. ","Historická Geologie","2",NA,NA,NA,NA,NA
"Medulloseae","Unranked","Potonié H. ","Cycadofilices [1902/2]",NA,NA,"788","1902",NA,"[Genus] Medullosa","9E200A81-C45F-47EB-B45B-4C0DCCA032D6",NA,NA,"Engler A. Prantl K. A. E. ","Die natürlichen Pflanzenfamilien","Abtheilung IV",NA,NA,NA,"Teil I",NA
"Medusagynales","Order","Reveal J. L. Doweld A. B. ","Validation of some suprageneric names in Magnoliophyta [1999/12]","Novon","4","551","1999","[Class] Magnoliopsida",NA,"FCCC9A46-F776-BCEC-375B-A99C1ADCE938","Yes",NA,NA,NA,"9",NA,NA,NA,NA,NA
"Megalopteridae","Unranked","Arnold C. A. ","A preliminary study of the fossil flora of the Michigan Coal Basin [1934/1]","Contributions from the Museum of Paleontology, University of Michigan","11","182","1934","[Order] Neuropteridales","[Genus] Megalopteris","7AA4CB1B-CBDB-BE1B-F511-E052EBDC2C4A",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA
"Megaloxylaceae","Family","Scott D. H. ","Studies in fossil botany [1909/6]",NA,NA,"474–475","1909",NA,"[Genus] Megaloxylon","05ADD2EF-0B4F-4971-9AAF-F863FF436410",NA,"Megaloxyleae","Scott D. H. ","Studies in fossil botany","2",NA,NA,NA,"2",NA
"Megaphyta","Unranked","Potonié H. ","Über die fossilen Filicales im Allgemeinen und die Reste derselben zweifelhafter Verwandtschaft [1900/10]",NA,NA,"507","1900","[Phylum] Pteridophyta","[Genus] Megaphyton","A8913126-6A5D-2E82-6B06-A3EC36456CA1",NA,NA,"Engler A. Prantl K. A. E. ","Die natürlichen Pflanzenfamilien","Abtheilung IV",NA,"204",NA,"Teil I",NA
"Megaphyta","Unranked","Potonié H. ","Über die fossilen Filicales im Allgemeinen und die Reste derselben zweifelhafter Verwandtschaft [1900/10]",NA,NA,"507","1900",NA,"[Genus] Megaphyton","FCAA0702-E265-4076-878F-CB88B858BDC7",NA,NA,"Engler A. Prantl K. A. E. ","Die natürlichen Pflanzenfamilien","Abtheilung IV",NA,"204",NA,"Teil I",NA
"Megaphytaceae","Family","Wagner R. H. ","Some Stephanian pecopterids from NW. Spain [1959]","Mededelingen van de Geologische Stichting","12","21","1959","[Order] Senftenbergiales","[Genus] Megaphyton","1E6948B6-BA7B-9C71-003C-9E8DD378F089",NA,"Megaphytinaceae",NA,NA,NA,"Corsin P. M. ",NA,"1958",NA,NA
"Melastomataceae","Family","de Jussieu A. L. ","Genera Plantarum [1789/8]",NA,NA,"328","1789","[Order] Myrtales","[Genus] Melastoma","946D5768-BDB1-42D8-8154-8EEC992FBF95","Yes","Melastomae","de Jussieu A. L. ","Genera Plantarum",NA,NA,NA,NA,NA,NA
"Meliaceae","Family","de Jussieu A. L. ","Genera Plantarum [1789/8]",NA,NA,"263","1789","[Order] Meliales",NA,"D857EAD8-8A66-4115-8FBF-733A672E0ED2","Yes","Meliae","de Jussieu A. L. ","Genera Plantarum",NA,NA,NA,NA,NA,NA
"Meliales","Order","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin aneb Rostlinář [1819/10]",NA,NA,"219","1819","[Class] Magnoliopsida",NA,"3641CD08-3C3E-44DB-81DA-929C334B75F9","Yes","Meliaceae","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin, aneb Rostlinář","Oddělení 1",NA,NA,NA,NA,NA
"Melobesiaceae","Family",NA,NA,NA,NA,"Abh. Schweiz. Paläontol. Ges. 17(3): 1, 4. 1891",NA,"[Class] Rhodymeniophyceae","[Genus] Melobesia","C3D1D1CE-3A8C-E2F3-812F-6C42BEC55821","Yes",NA,NA,NA,NA,"Früh J. J. ",NA,NA,NA,NA
"Membranatitriletes","Subturma","Neves R. Owens B. ","Some Namurian camerate miospores from the English Pennines [1966]","Pollen et Spores","2","353","1966","[Subturma] Solutitriletes",NA,"9AFCD6D2-8DBE-469E-AF22-8B3C14BBE2EE",NA,NA,NA,NA,"8",NA,NA,NA,NA,NA
"Menispermaceae","Family","de Jussieu A. L. ","Genera Plantarum [1789/8]",NA,NA,"284","1789","[Order] Menispermales","[Genus] Menispermum","80351A9C-1924-4E99-9D25-2B6E5E9ED061","Yes",NA,"de Jussieu A. L. ","Genera Plantarum",NA,NA,NA,NA,NA,NA
"Menispermales","Order","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin aneb Rostlinář [1819/10]",NA,NA,"225","1819","[Class] Magnoliopsida","[Genus] Menispermum","0A912BC9-33DF-5B22-52C0-09ECAED3B9EE",NA,"Menispermeae","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin, aneb Rostlinář","Oddělení 1",NA,NA,NA,NA,NA
"Mesoxylaceae","Family","Němejc F. ","Notes on the evolution and taxonomy of the stachyospermic gymnosperms [1959/6]","Preslia","3","262","1959","[Order] Mesoxylales","[Genus] Mesoxylon","7177EA5C-A09E-4AB5-BB7B-7A6198670EE5",NA,NA,NA,NA,"31",NA,NA,NA,NA,NA
"Mesoxylales","Order","Němejc F. ","Paleobotanika [1968/7]",NA,NA,"214","1968","[Class] Cordaitopsida","[Genus] Mesoxylon","0A81989F-FAD1-421E-87E2-15ADD3A58353",NA,NA,"Němejc F. ","Paleobotanika","3",NA,NA,NA,NA,NA
"Mesoxylales","Order","Němejc F. ","Notes on the evolution and taxonomy of the stachyospermic gymnosperms [1959/6]","Preslia","3","270","1959","[Class] Cordaitopsida","[Genus] Mesoxylon","6D6D7253-0812-C0EC-FEF1-D736E6AA0DFA",NA,NA,NA,NA,"31",NA,NA,NA,NA,NA
"Mesoxyloideae","Subfamily","Kräusel R. ","Cordaitaceae [1926/2]",NA,NA,"118","1926","[Family] Mesoxylaceae","[Genus] Mesoxylon","F94B7555-D7D4-4280-8733-AAA94E8050B2",NA,NA,"Engler A. Prantl K. A. E. ","Die natürlichen Pflanzenfamilien","13",NA,NA,NA,"2",NA
"Metacordaitaceae","Family","Němejc F. ","Notes on the evolution and taxonomy of the stachyospermic gymnosperms [1959/6]","Preslia","3","270","1959","[Order] Poroxylales","[Genus] Metacordaites","5E6E50A4-2178-E17D-B1C3-8C57A7423B4E",NA,NA,NA,NA,"31",NA,NA,NA,NA,NA
"Metasequoiaceae","Family","Hu H.-H. Cheng W. C. ","On the new family Metasequoiaceae and on Metasequoia glyptostroboides, a living species of the genus Metasequoia found in Szechuan and Hupeh [1948/5]","Bulletin of the Fan Memorial Institute of Biology","2","154","1948","[Order] Cupressales","[Genus] Metasequoia","617A90DC-1DDE-4BBB-9582-B7152D38FF75","Yes",NA,NA,NA,"1",NA,NA,"New Series",NA,NA
"Miadesmiaceae","Family","Walton J. Alston A. H. G. ","Lycopodiinae [1938/4]",NA,NA,"505","1938",NA,"[Genus] Miadesmia","98065336-BAB8-41E6-B5FE-3459A46A73D6",NA,NA,"Verdoorn F. ","Manual of Pteridology",NA,NA,NA,NA,NA,NA
"Miadesmiales","Order","Barkley F. A. ","Keys to the Phyla of Organisms [1939/10]",NA,NA,"16","1939","[Class] Selaginellopsida","[Genus] Miadesmia","5663E604-628B-4D82-844A-43B2E83CDB5D",NA,NA,"Barkley F. A. ","Keys to the Phyla of Organisms",NA,NA,NA,NA,NA,NA
"Microcachrydaceae","Family","Doweld A. B. Reveal J. L. ","New suprageneric names in Pinophyta [1999/8]","Phytologia","5","365","1999","[Subclass] Podocarpidae","[Genus] Microcachrys","009650EA-81C2-568C-9D02-81C299E19AD6","Yes",NA,NA,NA,"84",NA,NA,"1998",NA,NA
"Microcodiaceae","Family",NA,"Not defined (in editing)",NA,NA,NA,NA,NA,"[Genus] Microcodium","C8D0EB34-9E2B-8D6D-074A-653AD07FE312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microcystidaceae","Family",NA,"Not defined (in editing)",NA,NA,NA,NA,"[Regnum] Prokaryota",NA,"E0DEB6C3-5D52-45F6-81E6-9FE3816ADF26","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microvictoriaceae","Family","Doweld A. B. ","New names of fossil Nymphaeaceae and allied forms [2022/11]","Geophytology","1–2","5","2022","[Order] Illiciales","[Genus] Microvictoria","5171FE2E-F631-547D-8C61-7001FED7A564",NA,NA,NA,NA,"52",NA,NA,NA,NA,NA
"Milleromycetaceae","Family","Doweld A. B. ","Nomenclatural novelties: Milleromycetaceae Doweld, fam. nov. [2014/1]","Index Fungorum","67","1","2014",NA,NA,"3630B38E-12BE-40DE-87A2-4F2D4AD8E5B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zoosporangia endobiotic, smooth-walled, spherical to globose with a narrow, cylindrical discharge tube slightly thickened at orifice, tube always penetrating cell wall; rhizoidal system arising from prominent, slightly lateral region on base; hyphae near attachment point, becoming extensively branched and more delicate. Encysted zoospores with a single refractive inclusion, and infection tube. Resting sporangia unknown."
"Mimosoideae","Subfamily",NA,NA,NA,NA,"Prodr. 2: 424. Nov 1825",NA,"[Family] Fabaceae","[Genus] Mimosa","AA809064-B3B3-C540-D5E3-AB3014403931","Yes","Mimoseae",NA,NA,NA,"De Candolle A. P. ",NA,NA,NA,NA
"Miroviaceae","Family","Bose M. N. Manum S. B. ","Mesozoic conifer leaves with 'Sciadopitys-like' stomatal distribution. A re-evaluation based on fossils from Spitsbergen, Greenland and Baffin Island [1990/5]","Norsk Polarinstitutt Skrifter","192","64","1990","[Order] Umaltolepidales","[Genus] Mirovia","2B602A5D-562E-2B10-B15D-063C094B3B70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mirovioideae","Subfamily","Bose M. N. Manum S. B. ","Mesozoic conifer leaves with 'Sciadopitys-like' stomatal distribution. A re-evaluation based on fossils from Spitsbergen, Greenland and Baffin Island [1990/5]","Norsk Polarinstitutt Skrifter","192","64","1990","[Family] Miroviaceae","[Genus] Mirovia","28734ECB-6001-8D02-4C3E-83F3C5C2A62A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitcheldeanioideae","Subfamily","von Pia J. ","Die wichtigsten Kalkalgen des Jungpaläozoikums und ihre geologische Bedeutung [1937]",NA,NA,"786","1937",NA,"[Genus] Mitcheldeania","7CA5E3D4-A2D3-454F-EBA4-7683F413EE12",NA,"Mitcheldeanieae","Jongmans W. J. ","Deuxième Congrès pour l'avancement des études de stratigraphie Carbonifère, Heerlen, Septembre 1935: Compte Rendu","2",NA,NA,NA,NA,NA
"Mizzieae","Tribe","Deloffre R. Garnier B. ","Hypothèse phylogénique des algues Dasycladales [1991/6]","Comptes rendus de l'Académie des sciences","13","1676","1991","[Family] Dasycladaceae","[Genus] Mizzia","10B71AE9-C156-4E07-9883-AAA51C2589CC",NA,"Mizziineae",NA,NA,"312",NA,NA,NA,NA,NA
"Mizziinae","Subtribe","Bassoullet J.-P. Bernier P. Deloffre R. Génot P. Jaffrezo M. Vachard D. ","Essai de classification des Dasycladales en tribus [1979/12]","Bulletin des Centres de Recherches Exploration-Production Elf-Aquitaine","2","434","1979","[Family] Dasycladaceae","[Genus] Mizzia","921F04F0-098D-C648-FB75-3D794EFDE32E",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA
"Moellerinaceae","Family","Feist M. Grambast-Fessard N. ","The genus concept in Charophyta: evidence from Palaeozoic to recent [1990/12]",NA,NA,"198","1990","[Family] Primocharaceae","[Genus] Moellerina","B7807CD7-9E03-455E-9CBA-C9D711B5F852",NA,NA,"Riding R. ","Calcareous Algae and Stromatolites",NA,NA,NA,NA,"1991",NA
"Moellerinales","Order","Feist M. Grambast-Fessard N. Guerlesquin M. Karol K. Lu H.-N. McCourt R. M. Wang Q.-F. Zhang S.-Z. ","Charophyta [2005/7]",NA,NA,"92","2005","[Class] Charophyceae","[Genus] Moellerina","8657FD45-ECFD-47B1-A999-B890932AF04F",NA,NA,NA,"Treatise on Invertebrate Paleontology","1","Feist M. Grambast-Fessard N. ","B",NA,NA,NA
"Monetianthaceae","Family","Doweld A. B. ","New names of fossil Nymphaeaceae and allied forms [2022/11]","Geophytology","1–2","3","2022","[Order] Nymphaeales","[Genus] Monetianthus","92C087AE-D179-E7CA-7B2C-87BE8580F9B8",NA,NA,NA,NA,"52",NA,NA,NA,NA,NA
"Mongoloporellaceae","Family","Vologdin A. G. ","Neskol'ko vidov verkhnepaleozojskikh vodoroslej Vostochnoj Mongolii [1966/11]",NA,NA,"34","1966","[Subclass] Codiophycidae","[Genus] Mongoloporella","0F7B00C3-D4B1-3BDC-7B6C-7083050BF48E",NA,NA,"Marinov N. A. ","Materialy po geologii Mongol'skoj Narodnoj Respubliki",NA,NA,NA,NA,NA,NA
"Moniliporellaceae","Family","Gnilovskaja M. B. ","Izvestkovye vodorosli srednego i pozdnego ordovika Vostochnogo Kazakhstana [1972/4]",NA,NA,"100","1972","[Phylum] Chlorococcophyta","[Genus] Moniliporella","5FB48E0A-1250-0C6F-BA52-5127BE543C26",NA,NA,"Gnilovskaja M. B. ","Izvestkovye vodorosli srednego i pozdnego ordovika Vostochnogo Kazakhstana",NA,NA,NA,NA,NA,NA
"Monimiaceae","Family",NA,"Not defined (in editing)",NA,NA,"Ann. Mus. Nat. Hist. Nat. Paris 14: 133. 1809",NA,"[Order] Laurales","[Genus] Monimia","AC08C395-19B3-487C-AA1B-92FD8C758C63","Yes",NA,NA,NA,NA,"de Jussieu A. L. ",NA,NA,NA,NA
"Monocolpatae","Unranked","Mürriger F. Pflug H. D. ","Über eine palynologische Untersuchung des Braunkohlenlagers der Grube Emma bei Marxheim (Untermaingebiet) [1952/1]","Notizblatt des Hessischen Landesamtes für Bodenforschung zu Wiesbaden","3","58","1952",NA,NA,"75E96C07-39ED-4B69-B825-60F84B1C37DD",NA,NA,NA,NA,NA,NA,NA,"6",NA,NA
"Monocolpates","Turma","Potonié R. Klaus W. ","Einige Sporengattungen des alpinen Salzgebirges [1954/4]","Geologisches Jahrbuch",NA,"520","1954","[Anteturma] Pollenites",NA,"4B7A13C4-15C5-6FC4-AB2D-422D0F0567E4",NA,NA,NA,NA,"68","Potonié R. ",NA,NA,NA,NA
"Monoletes","Turma","Potonié R. Klaus W. ","Einige Sporengattungen des alpinen Salzgebirges [1954/4]","Geologisches Jahrbuch",NA,"520","1954","[Anteturma] Sporites",NA,"3ECDBC85-1E7D-7AF7-611E-84AEE7BF270C",NA,NA,NA,NA,"68","Potonié R. ",NA,NA,NA,NA
"Monoporines","Subturma","Potonié R. ","Synopsis der Gattungen der Sporae dispersae III. Teil [1960/6]","Beihefte zum Geologischen Jahrbuch","39","110","1960",NA,NA,"DD40BCB4-E014-4D85-AAE7-9DF60A4CB8D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monoradiatae","Unranked","Mürriger F. Pflug H. D. ","Über eine palynologische Untersuchung des Braunkohlenlagers der Grube Emma bei Marxheim (Untermaingebiet) [1952/1]","Notizblatt des Hessischen Landesamtes für Bodenforschung zu Wiesbaden","3","57","1952",NA,NA,"044D691E-69A3-4A54-8F4B-7AACC912E909",NA,NA,NA,NA,NA,NA,NA,"6",NA,NA
"Monosaccites","Subturma","Potonié R. Klaus W. ","Einige Sporengattungen des alpinen Salzgebirges [1954/4]","Geologisches Jahrbuch",NA,"527","1954","[Anteturma] Pollenites",NA,"6B060716-79CD-0428-60BB-6EE421107617",NA,NA,NA,NA,"68","Potonié R. ",NA,NA,NA,NA
"Montiellinae","Subtribe","von Pia J. ","Thallophyta [1927/11]",NA,NA,"81","1927","[Family] Neomeridaceae","[Genus] Montiella","71427F7A-DA93-452C-8A92-53B37BBB31B4",NA,NA,"Hirmer M. ","Handbuch der Paläobotanik","1",NA,NA,NA,NA,NA
"Moraceae","Family",NA,"Not defined (in editing)",NA,NA,"in Trinius, Gen. Pl. 13. 1835",NA,"[Order] Urticales","[Genus] Morus","D69354B1-79FB-4BBE-B97C-4A3CC30B6D30","Yes","Moreae",NA,NA,NA,"Gaudichaud C. ",NA,NA,NA,NA
"Moravamminaceae","Family",NA,"Not defined (in editing)",NA,NA,NA,NA,"[Unranked] Algae","[Genus] Moravammina","E52F7E9A-9D75-CD9C-F4E9-8860B58A0944",NA,"Moravamminidae",NA,NA,NA,NA,NA,NA,NA,NA
"Moresnetiaceae","Family","Lepechina V. G. Petrosjan N. M. Radczenko G. P. ","Vazhnejshie devonskie rastenija Altae-Sajanskoj gornoj oblasti [1962/5]","Trudy Vsesoyuznogo Nauchno-Issledovatel'skogo Geologicheskogo Instituta","70","131","1962","[Order] Moresnetiales","[Genus] Moresnetia","86D84CBC-906D-4477-A1DC-5A1D54E33DB6",NA,NA,NA,NA,NA,"Radczenko G. P. ",NA,NA,NA,NA
"Moresnetiaceae","Family","Němejc F. ","Paleobotanika [1968/7]",NA,NA,"353-354","1968","[Order] Moresnetiales","[Genus] Moresnetia","A9F6D7AE-6DB2-4E84-9707-F946C8AC29E2",NA,NA,"Němejc F. ","Paleobotanika","3",NA,NA,NA,NA,NA
"Moresnetiales","Order","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"xiii","2001","[Class] Moresnetiopsida","[Genus] Moresnetia","A27CD3C5-2E58-451A-9B26-A4B6216A137E",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Moresnetiophyta","Phylum","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"xiii","2001",NA,NA,"7BB2B2B0-C559-4272-AC16-734885CC5DCC",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Moresnetiopsida","Class","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"xiii","2001","[Phylum] Moresnetiophyta",NA,"2D673BB6-B81D-4F2F-B40B-D87424399C57",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Moringaceae","Family","Martynov I. I. ","Tekhno-Botanicheskij Slovar' [1820/7]",NA,NA,"404","1820","[Order] Moringales",NA,"71C75C2E-9643-7619-4529-78B4FE9F882B","Yes","Moringeae","Martynov I. I. ","Tekhno-Botanicheskij Slovar' [Techno-Botanical Dictionary]",NA,NA,NA,NA,NA,NA
"Moringales","Order","von Martius C. ","Conspectus Regni Vegetabilis [1835/10]",NA,NA,"51","1835","[Class] Magnoliopsida",NA,"BC925720-EC4C-21B0-8A41-0E809D7F54B9",NA,"Moringeae","von Martius C. ","Conspectus Regni Vegetabilis",NA,NA,NA,NA,NA,NA
"Mucilinaceae","Family","Korde K. B. ","Vodorosli kembrija [1973/11]","Trudy Paleontologicheskogo Instituta Akademii Nauk SSSR",NA,"118","1973","[Order] Mucilinales","[Genus] Mucilina","0595A176-2093-4C5A-A924-7AC6A4454860",NA,NA,NA,NA,"139",NA,NA,NA,NA,NA
"Mucilinales","Order","Korde K. B. ","Vodorosli kembrija [1973/11]","Trudy Paleontologicheskogo Instituta Akademii Nauk SSSR",NA,"118","1973",NA,"[Genus] Mucilina","9EE1FBBF-6EB7-41F5-826C-7CC1E7F81022",NA,NA,NA,NA,"139",NA,NA,NA,NA,NA
"Murandaviaceae","Family","Vologdin A. G. ","K otkrytiju ostatkov vodoroslej v murandavskoj svite proterozoja Malogo Khingana (DVK) [1965/9]","Doklady Akademii Nauk SSSR","3","678","1965","[Regnum] Prokaryota","[Genus] Murandavia","9EC09E22-F8D9-B07F-8D0C-F1073C9D0AEF",NA,NA,NA,NA,"164",NA,NA,NA,NA,NA
"Murornati","Unranked","Potonié R. Klaus W. ","Einige Sporengattungen des alpinen Salzgebirges [1954/4]","Geologisches Jahrbuch",NA,"520","1954","[Subturma] Zonotriletes",NA,"28AE5DD9-9FE7-0FB0-5C75-F3772DB95065",NA,NA,NA,NA,"68","Potonié R. ",NA,NA,NA,NA
"Murornati","Infraturma","Potonié R. ","Synopsis der Gattungen der Sporae dispersae I. Teil [1956/9]","Beihefte zum Geologischen Jahrbuch","23","38","1956",NA,NA,"2CAADDF6-8CFF-AB1E-0EC6-5D2EF7201E1C",NA,NA,NA,NA,NA,"Potonié R. Kremp G. O. W. ",NA,NA,NA,NA
"Musaceae","Family","de Jussieu A. L. ","Genera Plantarum [1789/8]",NA,NA,"61","1789","[Order] Cannales","[Genus] Musa","A74FBECE-5698-B4EE-3D30-81E8FC9A78FC","Yes",NA,"de Jussieu A. L. ","Genera Plantarum",NA,NA,NA,NA,NA,NA
"Muscitaceae","Family","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt [1833/10]",NA,NA,"[38]","1833","[Phylum] Bryophyta","[Genus] Muscites","CEFFBFC1-D15D-D98D-1D8C-AAB5487EC9E7",NA,"Muscoidites","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt","[2]",NA,"5-6",NA,NA,NA
"Myricaceae","Family",NA,"Not defined (in editing)",NA,NA,"in Humb. Bonpl. & Kunth Nov.Gen.Sp.2:16qu.1817",NA,"[Order] Myricales","[Genus] Myrica","99173B7B-0739-4C2E-A96A-A473704343E1","Yes",NA,NA,NA,NA,"Kunth K. S. ",NA,NA,NA,NA
"Myricales","Order","von Martius C. ","Conspectus Regni Vegetabilis [1835/10]",NA,NA,"12","1835","[Class] Magnoliopsida","[Genus] Myrica","673966AF-B342-D38E-E35B-B8DA318BDE59","Yes","Myriceae","von Martius C. ","Conspectus Regni Vegetabilis",NA,NA,NA,NA,NA,NA
"Myristicaceae","Family",NA,"Not defined (in editing)",NA,NA,"Prodr.: 399. 1810",NA,"[Order] Myristicales","[Genus] Myristica","B134E43D-B856-4073-8B7A-AF94F668557C","Yes",NA,NA,NA,NA,"Brown R. ",NA,NA,NA,NA
"Myristicales","Order","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin aneb Rostlinář [1819/10]",NA,NA,"235","1819","[Class] Magnoliopsida","[Genus] Myristica","31B0AA0A-89C7-85A3-F3B3-01B67C6A18AB","Yes","Myristiceae","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin, aneb Rostlinář","Oddělení 1",NA,NA,NA,NA,NA
"Myrsinaceae","Family",NA,"Not defined (in editing)",NA,NA,"Prodr.: 532. 1810",NA,"[Order] Primulales",NA,"DB1CFD64-6C5D-48D4-AA8D-17BD32B5870B","Yes",NA,NA,NA,NA,"Brown R. ",NA,NA,NA,NA
"Myrtaceae","Family","de Jussieu A. L. ","Genera Plantarum [1789/8]",NA,NA,"322","1789","[Order] Myrtales","[Genus] Myrtus","E353B32F-6830-4E42-8590-71FB9573BB47","Yes","Myrti","de Jussieu A. L. ","Genera Plantarum",NA,NA,NA,NA,NA,NA
"Myrtales","Order","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin aneb Rostlinář [1819/10]",NA,NA,"233","1819","[Class] Magnoliopsida","[Genus] Myrtus","E3394A8C-BFC1-4989-AC1E-3DD65D383178","Yes","Myrtaceae","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin, aneb Rostlinář","Oddělení 1",NA,NA,NA,NA,NA
